image_name,cell_number,slide_alpha,cell_slide_replicate,count,notes,clone,week,,,,,,,,,,,,,,,,,,,,
04_4_22_08cell_b.4,08,b,4,28,,1806_08,5,,,,,,,,,,,,,,,,,,,,
04_4_22_08cell_c.1,08,c,1,38,,1806_08,5,,,,,,,,,,,,,,,,,,,,
04_4_22_08cell_c.2,08,c,2,40,,1806_08,5,,,,,,,,,,,,,,,,,,,,
04_4_22_08cell_c.3,08,c,3,35,,1806_08,5,,,,,,,,,,,,,,,,,,,,
04_4_22_14cell_a.1,14,a,1,92,,1806_14,5,,,,,,,,,,,,,,,,,,,,
04_4_22_14cell_a.2,14,a,2,43,,1806_14,5,,,,,,,,,,,,,,,,,,,,
04_4_22_14cell_a.3,14,a,3,90,,1806_14,5,,,,,,,,,,,,,,,,,,,,
04_4_22_14cell_b.1,14,b,1,40,,1806_14,5,,,,,,,,,,,,,,,,,,,,
04_4_22_14cell_b.2,14,b,2,40,,1806_14,5,,,,,,,,,,,,,,,,,,,,
04_4_22_14cell_b.3,14,b,3,70,,1806_14,5,,,,,,,,,,,,,,,,,,,,
04_4_22_14cell_b.4,14,b,4,85,,1806_14,5,,,,,,,,,,,,,,,,,,,,
04_4_22_14cell_c.1,14,c,1,40,,1806_14,5,,,,,,,,,,,,,,,,,,,,
04_4_22_14cell_c.2,14,c,2,42,,1806_14,5,,,,,,,,,,,,,,,,,,,,
04_4_22_14cell_c.3,14,c,3,111,,1806_14,5,,,,,,,,,,,,,,,,,,,,
04_4_22_15cell_a.1,15,a,1,85,,1806_15,5,,,,,,,,,,,,,,,,,,,,
04_4_22_15cell_a.2,15,a,2,100,,1806_15,5,,,,,,,,,,,,,,,,,,,,
04_4_22_15cell_a.3,15,a,3,49,,1806_15,5,,,,,,,,,,,,,,,,,,,,
04_4_22_15cell_b.1,15,b,1,18,,1806_15,5,,,,,,,,,,,,,,,,,,,,
04_4_22_15cell_b.2,15,b,2,97,,1806_15,5,,,,,,,,,,,,,,,,,,,,
04_4_22_15cell_b.3,15,b,3,76,,1806_15,5,,,,,,,,,,,,,,,,,,,,
04_4_22_15cell_b.4,15,b,4,89,,1806_15,5,,,,,,,,,,,,,,,,,,,,
04_4_22_15cell_c.1,15,c,1,120,,1806_15,5,,,,,,,,,,,,,,,,,,,,
04_4_22_15cell_c.2,15,c,2,305,,1806_15,5,,,,,,,,,,,,,,,,,,,,
04_4_22_15cell_c.3,15,c,3,91,,1806_15,5,,,,,,,,,,,,,,,,,,,,
04_4_22_15cell_c.4,15,c,4,84,,1806_15,5,,,,,,,,,,,,,,,,,,,,
04_4_22_16cell_a.1,16,a,1,102,,1806_16,5,,,,,,,,,,,,,,,,,,,,
04_4_22_16cell_a.2,16,a,2,90,,1806_16,5,,,,,,,,,,,,,,,,,,,,
04_4_22_16cell_a.3,16,a,3,96,,1806_16,5,,,,,,,,,,,,,,,,,,,,
04_4_22_16cell_a.4,16,a,4,95,,1806_16,5,,,,,,,,,,,,,,,,,,,,
04_4_22_16cell_b.1,16,b,1,92,,1806_16,5,,,,,,,,,,,,,,,,,,,,
04_4_22_16cell_b.2,16,b,2,94,,1806_16,5,,,,,,,,,,,,,,,,,,,,
